symbol,timestamp,open,high,low,close,volume
SOL,8/11/2020,2.85,3.5208,2.8433,3.2985,1552384.78
SOL,8/12/2020,3.2985,3.9289,3.08,3.7558,1737042.95
SOL,8/13/2020,3.75,4.1387,3.5003,3.73,1685759.24
SOL,8/14/2020,3.7207,3.7676,3.321,3.4099,1474161.79
SOL,8/15/2020,3.4181,3.74,3.15,3.173,1070233.2
SOL,8/16/2020,3.173,3.4907,3.12,3.3885,668106.53
SOL,8/17/2020,3.3885,3.3952,3.1,3.11,729413.64
SOL,8/18/2020,3.11,3.7092,2.8105,3.3407,2713115.94
SOL,8/19/2020,3.334,3.49,2.8,2.8868,1433243.76
SOL,8/20/2020,2.8962,3.445,2.8871,3.2038,1277827.32
SOL,8/21/2020,3.2038,3.24,2.89,2.9317,1131895.9
SOL,8/22/2020,2.9213,3.2,2.7431,3.0126,1169417.78
SOL,8/23/2020,3.0224,3.4,3.0014,3.25,1198036.69
SOL,8/24/2020,3.2658,3.62,3.21,3.3405,1315196.06
SOL,8/25/2020,3.3406,3.3654,3.0001,3.25,1149187.37
SOL,8/26/2020,3.2576,3.7999,3.1809,3.5684,2290030.56
SOL,8/27/2020,3.5557,3.8575,3.2434,3.4501,2412974.8
SOL,8/28/2020,3.4503,4.3091,3.4503,4.0063,2581936.84
SOL,8/29/2020,4.007,4.1121,3.7748,3.9535,1342844.2
SOL,8/30/2020,3.9531,4.7117,3.9,4.4309,1815681.99
SOL,8/31/2020,4.4127,4.8865,4.1,4.7435,1497129.12
SOL,9/1/2020,4.7432,4.9475,4.3,4.3397,1267574.76
SOL,9/2/2020,4.3213,4.3506,3.66,4.17,2002058.36
SOL,9/3/2020,4.17,4.459,3.4772,3.5051,3275612.26
SOL,9/4/2020,3.5062,3.8346,3.1739,3.5301,2052197.24
SOL,9/5/2020,3.5301,3.6637,2.0926,2.6052,4426267.38
SOL,9/6/2020,2.6119,3.18,2.2575,3.0941,2898758.91
SOL,9/7/2020,3.0785,3.1983,2.38,2.9237,2680083.17
SOL,9/8/2020,2.9237,2.9499,2.4,2.468,1626389.7
SOL,9/9/2020,2.468,3.8838,2.3821,3.6001,6691121.99
SOL,9/10/2020,3.6107,3.875,3.304,3.4761,4356890.66
SOL,9/11/2020,3.4707,3.5036,3.0316,3.3965,2227636.94
SOL,9/12/2020,3.3967,3.47,3.1494,3.3316,1161542.47
SOL,9/13/2020,3.3386,3.47,2.9838,3.2603,2024779.41
SOL,9/14/2020,3.2656,3.5393,3.0752,3.2641,3351649.61
SOL,9/15/2020,3.264,3.3249,2.8955,2.9295,1698391.09
SOL,9/16/2020,2.9288,2.9293,2.4282,2.5327,4886766.99
SOL,9/17/2020,2.5376,2.9389,2.36,2.8829,4635747.31
SOL,9/18/2020,2.883,3.16,2.726,3.1144,4169446.23
SOL,9/19/2020,3.1084,3.2545,2.9564,3.031,1586219.86
SOL,9/20/2020,3.0216,3.0319,2.7,2.8628,1456628.58
SOL,9/21/2020,2.8628,3.0397,2.4689,2.7672,3567879.31
SOL,9/22/2020,2.7571,3.0107,2.65,2.9082,3416786.33
SOL,9/23/2020,2.9184,3.09,2.7001,2.8548,2762150.96
SOL,9/24/2020,2.855,3.2571,2.7804,3.1433,2983701.04
SOL,9/25/2020,3.1409,3.2766,2.9003,3.1937,2447843.22
SOL,9/26/2020,3.185,3.25,3.03,3.1287,1357018.72
SOL,9/27/2020,3.1292,3.1857,2.9819,3.1578,983815.86
SOL,9/28/2020,3.1557,3.2109,2.908,2.9599,1306134.15
SOL,9/29/2020,2.9549,3.027,2.8735,2.9505,950875.56
SOL,9/30/2020,2.9447,2.9838,2.8228,2.8967,722757.83
SOL,10/1/2020,2.8967,2.9889,2.65,2.8669,1373061.59
SOL,10/2/2020,2.8667,2.8873,2.42,2.6232,2788493.11
SOL,10/3/2020,2.6231,2.6708,2.5356,2.5439,547025.23
SOL,10/4/2020,2.542,2.5898,2.42,2.5202,765399.21
SOL,10/5/2020,2.5181,2.683,2.4561,2.6522,912587.17
SOL,10/6/2020,2.6486,2.6604,2.13,2.174,1784025.33
SOL,10/7/2020,2.1721,2.4083,2.081,2.3005,2087951.2
SOL,10/8/2020,2.3001,2.4569,2.0123,2.3638,2759189.94
SOL,10/9/2020,2.3686,2.63,2.303,2.5314,1878523.79
SOL,10/10/2020,2.5274,2.6056,2.3873,2.3999,1278940.27
SOL,10/11/2020,2.3988,2.4607,2.3401,2.4227,898764.08
SOL,10/12/2020,2.4228,2.7044,2.4132,2.5836,2155387.01
SOL,10/13/2020,2.5826,2.5867,2.336,2.4062,1951031.1
SOL,10/14/2020,2.4061,2.4424,2.2331,2.3107,1125385.85
SOL,10/15/2020,2.3108,2.3485,2.1932,2.2682,754909.09
SOL,10/16/2020,2.2648,2.269,2.1071,2.1398,1546650.13
SOL,10/17/2020,2.1374,2.2462,2.1107,2.2053,482249.55
SOL,10/18/2020,2.2031,2.2595,2.1763,2.215,478921.26
SOL,10/19/2020,2.2137,2.2148,2.05,2.0592,909217.19
SOL,10/20/2020,2.0552,2.108,1.8401,1.885,1933167.04
SOL,10/21/2020,1.8873,2.11,1.8415,1.8887,3222724.75
SOL,10/22/2020,1.8868,2.09,1.8481,1.9582,1624778.09
SOL,10/23/2020,1.9566,1.9902,1.85,1.959,1559992.35
