timestamp,open,high,low,close,volume,symbol
2023-12-12,0.0002432,0.0006922,0.0002432,0.0005518,624844140259.0,1000SATS
2023-12-13,0.0005524,0.0005569,0.0004554,0.0005108,317546611755.0,1000SATS
2023-12-14,0.0005108,0.000793,0.0005008,0.000755,778688810259.0,1000SATS
2023-12-15,0.0007544,0.0009428,0.000693,0.0007288,902204913462.0,1000SATS
2023-12-16,0.0007288,0.00088,0.0006706,0.0007734,405020284175.0,1000SATS
2023-12-17,0.0007728,0.000824,0.00069,0.0007344,298593152767.0,1000SATS
2023-12-18,0.0007342,0.0007868,0.0005797,0.00068,449003441219.0,1000SATS
2023-12-19,0.0006799,0.000793,0.0006758,0.0006943,281538870991.0,1000SATS
2023-12-20,0.0006943,0.0007364,0.0006621,0.000705,204434725084.0,1000SATS
2023-12-21,0.0007052,0.000775,0.0006761,0.0007106,199356007134.0,1000SATS
2023-12-22,0.0007105,0.000716,0.0006201,0.0006483,184941350991.0,1000SATS
2023-12-23,0.0006484,0.0006622,0.000595,0.0006336,128465007077.0,1000SATS
2023-12-24,0.0006336,0.000669,0.0006,0.000619,116329015331.0,1000SATS
2023-12-25,0.000619,0.000889,0.0006129,0.0008678,420646691061.0,1000SATS
2023-12-26,0.0008678,0.0009355,0.000725,0.0008073,359303966370.0,1000SATS
2023-12-27,0.0008078,0.0008515,0.0007511,0.0008049,182597007557.0,1000SATS
2023-12-28,0.0008044,0.0008539,0.0007358,0.0007763,128610181489.0,1000SATS
2023-12-29,0.0007763,0.000861,0.0007518,0.0007955,185699168117.0,1000SATS
2023-12-30,0.0007953,0.0008266,0.00074,0.0007864,127068326773.0,1000SATS
2023-12-31,0.0007864,0.0008288,0.000758,0.0007796,89194234483.0,1000SATS
2024-01-01,0.0007793,0.0008198,0.0007501,0.0008171,71289585409.0,1000SATS
2024-01-02,0.0008173,0.0008873,0.0007671,0.000779,210483524168.0,1000SATS
2024-01-03,0.0007791,0.0007962,0.0006068,0.0006771,225110562892.0,1000SATS
2024-01-04,0.0006771,0.00069,0.000625,0.0006853,115807435542.0,1000SATS
2024-01-05,0.0006855,0.0007317,0.00064,0.0006655,139263772805.0,1000SATS
2024-01-06,0.0006654,0.0006703,0.00061,0.0006375,65056451035.0,1000SATS
