timestamp,open,high,low,close,volume,symbol
2023-12-15,1.952e-05,4e-05,1.952e-05,2.373e-05,14254363937690.0,BONK
2023-12-16,2.373e-05,2.673e-05,2.025e-05,2.176e-05,10336215383965.0,BONK
2023-12-17,2.175e-05,2.499e-05,1.969e-05,2.284e-05,8850276837665.0,BONK
2023-12-18,2.285e-05,2.347e-05,1.831e-05,2.087e-05,7605055835105.0,BONK
2023-12-19,2.086e-05,2.308e-05,1.861e-05,1.898e-05,5610167162212.0,BONK
2023-12-20,1.898e-05,2.177e-05,1.742e-05,1.89e-05,8142691660796.0,BONK
2023-12-21,1.89e-05,2.16e-05,1.827e-05,2.068e-05,7923713598444.0,BONK
2023-12-22,2.068e-05,2.286e-05,1.85e-05,1.934e-05,6349667094073.0,BONK
2023-12-23,1.934e-05,2e-05,1.781e-05,1.986e-05,4007006080783.0,BONK
2023-12-24,1.985e-05,1.998e-05,1.785e-05,1.815e-05,3622569452713.0,BONK
2023-12-25,1.815e-05,1.93e-05,1.755e-05,1.867e-05,3719287802450.0,BONK
2023-12-26,1.868e-05,1.902e-05,1.5e-05,1.617e-05,5871907493320.0,BONK
2023-12-27,1.616e-05,1.624e-05,1.42e-05,1.453e-05,6055213836961.0,BONK
2023-12-28,1.453e-05,1.565e-05,1.24e-05,1.487e-05,9050303386329.0,BONK
2023-12-29,1.487e-05,1.685e-05,1.392e-05,1.494e-05,10093751136471.0,BONK
2023-12-30,1.493e-05,1.511e-05,1.373e-05,1.404e-05,3122692748246.0,BONK
2023-12-31,1.404e-05,1.452e-05,1.3e-05,1.333e-05,3025950228761.0,BONK
2024-01-01,1.333e-05,1.499e-05,1.279e-05,1.498e-05,2984165425519.0,BONK
2024-01-02,1.498e-05,1.541e-05,1.337e-05,1.348e-05,3877972943067.0,BONK
2024-01-03,1.348e-05,1.382e-05,9.97e-06,1.163e-05,5278106403429.0,BONK
2024-01-04,1.163e-05,1.26e-05,1.123e-05,1.193e-05,3253134700822.0,BONK
2024-01-05,1.193e-05,1.205e-05,1.051e-05,1.117e-05,3259588047821.0,BONK
2024-01-06,1.117e-05,1.168e-05,1.005e-05,1.075e-05,3405837136959.0,BONK
