symbol,timestamp,open,high,low,close,volume
USDC,2/9/2019,1.0097,1.014,1.007,1.0106,1733489.76
USDC,2/10/2019,1.0108,1.0119,1.0071,1.0089,1629133.17
USDC,2/11/2019,1.0078,1.014,1.0066,1.0123,1456394.53
USDC,2/12/2019,1.0124,1.0165,1.0103,1.0121,2181907.28
USDC,2/13/2019,1.0116,1.0136,1.0092,1.0103,1971815.54
USDC,2/14/2019,1.0104,1.0136,1.0077,1.01,1993371.41
USDC,2/15/2019,1.0096,1.0122,1.0075,1.0114,1453390.79
USDC,2/16/2019,1.011,1.0114,1.0085,1.0108,1183662.66
USDC,2/17/2019,1.0104,1.015,1.0101,1.0123,1282710.39
USDC,2/18/2019,1.0126,1.0215,1.0051,1.0072,4142284.49
USDC,2/19/2019,1.0072,1.0137,1.0033,1.0076,3162557.04
USDC,2/20/2019,1.0076,1.0136,1.0035,1.008,2986338.21
USDC,2/21/2019,1.008,1.0111,1.0064,1.0098,2349742.94
USDC,2/22/2019,1.009,1.011,1.0064,1.0068,1812374.71
USDC,2/23/2019,1.0069,1.01,1.0003,1.0043,2210334.54
USDC,2/24/2019,1.0043,1.015,1.0002,1.0035,5544085.86
USDC,2/25/2019,1.0035,1.0086,1.0011,1.0035,3203939.75
USDC,2/26/2019,1.0035,1.0094,1.0021,1.0047,1814414.44
USDC,2/27/2019,1.0046,1.0079,1.0021,1.006,2349188.66
USDC,2/28/2019,1.0053,1.0064,1.002,1.0058,2067937.39
USDC,3/1/2019,1.0058,1.0082,1.003,1.0046,1989449.38
USDC,3/2/2019,1.0046,1.0067,1.0018,1.003,1178686.78
USDC,3/3/2019,1.0032,1.006,1.0022,1.0058,1081911.4
USDC,3/4/2019,1.0058,1.0067,1.001,1.0041,3319041.9
USDC,3/5/2019,1.0046,1.0064,1.0015,1.0028,3750299.99
USDC,3/6/2019,1.0035,1.005,1.0011,1.0026,2025212.59
USDC,3/7/2019,1.0026,1.006,1.0015,1.0042,2085128.84
USDC,3/8/2019,1.0042,1.0079,1.0032,1.0069,2253067.59
USDC,3/9/2019,1.0063,1.0079,1.0035,1.0052,1308956.82
USDC,3/10/2019,1.0052,1.0059,1.003,1.0048,1348332.13
USDC,3/11/2019,1.0055,1.0074,1.0028,1.0056,2256097.62
USDC,3/12/2019,1.0056,1.0074,1.0002,1.0055,1564039.05
USDC,3/13/2019,1.0055,1.006,1.003,1.0044,1398838.16
USDC,3/14/2019,1.0034,1.0105,1.0033,1.0062,3125349.17
USDC,3/15/2019,1.0067,1.01,1.0053,1.0062,1528324.92
USDC,3/16/2019,1.0067,1.0084,1.0025,1.0046,3534016.14
USDC,3/17/2019,1.0041,1.0063,1.0036,1.0042,2960514.95
USDC,3/18/2019,1.0042,1.0069,1.0036,1.0047,2835275.0
USDC,3/19/2019,1.0042,1.0064,1.004,1.0042,1785006.87
USDC,3/20/2019,1.0044,1.0064,1.0021,1.0029,2373454.02
USDC,3/21/2019,1.0029,1.0056,1.0,1.0027,4492130.23
USDC,3/22/2019,1.0018,1.0041,1.0008,1.0023,1523660.36
USDC,3/23/2019,1.0023,1.007,1.0012,1.0063,1580208.75
USDC,3/24/2019,1.0063,1.0063,1.003,1.005,1276332.63
USDC,3/25/2019,1.005,1.0089,1.0008,1.0067,4079921.2
USDC,3/26/2019,1.0069,1.0086,1.0035,1.0068,1518897.45
USDC,3/27/2019,1.0063,1.0081,1.0019,1.0026,2831675.72
USDC,3/28/2019,1.0021,1.005,1.0016,1.0045,1516290.07
USDC,3/29/2019,1.0045,1.005,1.0018,1.0027,2066700.75
USDC,3/30/2019,1.0027,1.0049,1.0013,1.0022,1432274.65
