symbol,timestamp,open,high,low,close,volume
BTC,1/1/2019,3701.23,3810.16,3642.0,3797.14,23741.68703
BTC,1/2/2019,3796.45,3882.14,3750.45,3858.56,35156.46337
BTC,1/3/2019,3857.57,3862.74,3730.0,3766.78,29406.94836
BTC,1/4/2019,3767.2,3823.64,3703.57,3792.01,29519.55467
BTC,1/5/2019,3790.09,3840.99,3751.0,3770.96,30490.66775
BTC,1/6/2019,3771.12,4027.71,3740.0,3987.6,36553.80671
BTC,1/7/2019,3987.62,4017.9,3921.53,3975.45,31869.84626
BTC,1/8/2019,3976.76,4069.8,3903.0,3955.13,38901.42312
BTC,1/9/2019,3955.45,4006.81,3930.04,3966.65,28989.43951
BTC,1/10/2019,3966.06,3996.01,3540.0,3585.88,59402.22851
BTC,1/11/2019,3585.88,3658.0,3465.0,3601.31,38338.65473
BTC,1/12/2019,3601.31,3618.19,3530.0,3583.13,21999.92835
BTC,1/13/2019,3584.1,3611.1,3441.3,3476.81,26385.75745
BTC,1/14/2019,3477.56,3671.87,3467.02,3626.09,35235.21122
BTC,1/15/2019,3626.08,3648.42,3516.62,3553.06,34137.99746
BTC,1/16/2019,3553.06,3645.0,3543.51,3591.84,27480.17998
BTC,1/17/2019,3591.84,3634.7,3530.39,3616.21,29755.44084
BTC,1/18/2019,3613.32,3620.0,3565.75,3594.87,22713.44676
BTC,1/19/2019,3594.87,3720.0,3594.23,3665.3,22171.57812
BTC,1/20/2019,3665.75,3693.73,3475.0,3539.28,27901.9386
BTC,1/21/2019,3539.26,3559.51,3475.5,3526.9,19644.43684
BTC,1/22/2019,3526.88,3608.5,3434.85,3570.93,29336.44297
BTC,1/23/2019,3570.41,3607.98,3514.5,3552.82,24938.8427
BTC,1/24/2019,3552.97,3589.0,3529.22,3569.62,20826.25118
BTC,1/25/2019,3569.07,3587.15,3522.51,3565.29,17608.34667
BTC,1/26/2019,3566.69,3662.94,3545.0,3565.25,19476.53234
BTC,1/27/2019,3565.62,3579.0,3486.0,3550.84,22735.59816
BTC,1/28/2019,3550.05,3557.75,3380.27,3434.15,40405.1114
BTC,1/29/2019,3434.0,3443.45,3349.92,3411.04,29544.92898
BTC,1/30/2019,3410.04,3478.0,3387.1,3458.18,23968.26024
BTC,1/31/2019,3457.5,3489.2,3418.8,3434.1,29607.19025
BTC,2/1/2019,3434.1,3488.0,3401.2,3462.07,25260.47616
BTC,2/2/2019,3462.2,3526.4,3440.29,3504.77,17920.802
BTC,2/3/2019,3504.06,3511.09,3426.0,3458.11,19867.33639
BTC,2/4/2019,3458.11,3484.88,3433.31,3463.22,23131.98111
BTC,2/5/2019,3463.22,3478.97,3448.43,3471.59,25264.41503
BTC,2/6/2019,3471.57,3482.72,3380.0,3405.37,35310.24485
BTC,2/7/2019,3407.0,3426.45,3390.0,3398.4,18665.53864
BTC,2/8/2019,3398.4,3733.58,3373.1,3659.04,47968.05801
BTC,2/9/2019,3660.27,3680.02,3625.13,3665.18,24759.83372
BTC,2/10/2019,3665.18,3684.99,3609.76,3680.06,23250.60263
BTC,2/11/2019,3679.75,3684.9,3615.53,3631.05,24954.61457
BTC,2/12/2019,3631.05,3667.6,3582.34,3631.46,29479.59823
BTC,2/13/2019,3631.51,3670.0,3591.75,3609.4,25773.99765
BTC,2/14/2019,3608.34,3626.4,3568.11,3590.56,21753.50126
BTC,2/15/2019,3590.57,3653.23,3573.45,3602.47,20777.8729
BTC,2/16/2019,3602.49,3648.2,3597.91,3618.41,19565.99275
BTC,2/17/2019,3617.22,3700.11,3604.4,3667.58,25690.22778
BTC,2/18/2019,3667.62,3925.0,3655.0,3898.6,64042.73049
BTC,2/19/2019,3897.35,3994.52,3856.0,3907.79,50207.17267
BTC,2/20/2019,3907.35,3986.98,3870.66,3969.74,36205.14085
BTC,2/21/2019,3969.74,4016.48,3901.03,3937.31,31103.88473
BTC,2/22/2019,3937.31,3988.0,3926.65,3962.0,23943.16375
BTC,2/23/2019,3962.0,4162.02,3933.15,4117.76,33657.94288
BTC,2/24/2019,4118.0,4198.0,3712.66,3743.56,62224.18689
BTC,2/25/2019,3743.56,3872.66,3740.0,3827.92,38102.96625
BTC,2/26/2019,3828.44,3841.51,3777.0,3809.23,28838.74804
BTC,2/27/2019,3809.31,3838.85,3677.17,3818.07,31500.99547
BTC,2/28/2019,3818.04,3888.0,3763.87,3813.69,32561.96104
BTC,3/1/2019,3814.26,3857.0,3813.01,3823.0,23174.57217
BTC,3/2/2019,3822.17,3841.31,3772.25,3819.93,19445.83836
BTC,3/3/2019,3819.97,3835.0,3781.32,3807.75,16718.16541
BTC,3/4/2019,3807.32,3830.0,3670.69,3715.3,34742.84166
BTC,3/5/2019,3716.1,3877.1,3703.55,3857.73,32962.53616
BTC,3/6/2019,3857.58,3907.0,3813.09,3861.84,24775.11883
BTC,3/7/2019,3861.84,3905.4,3840.4,3873.64,26455.25766
BTC,3/8/2019,3873.63,3932.0,3800.0,3864.89,34730.36659
BTC,3/9/2019,3864.88,3971.75,3854.75,3943.04,30979.74765
BTC,3/10/2019,3943.43,3943.43,3881.69,3916.82,23187.56141
BTC,3/11/2019,3915.99,3936.98,3830.0,3871.61,38066.88571
BTC,3/12/2019,3871.61,3905.2,3826.06,3882.73,26921.00862
BTC,3/13/2019,3882.69,3893.56,3840.0,3866.0,24461.00876
BTC,3/14/2019,3866.0,3920.0,3810.43,3877.12,27048.74853
BTC,3/15/2019,3877.12,3939.22,3872.2,3923.76,21740.0615
BTC,3/16/2019,3924.46,4056.98,3921.98,4005.98,28568.37612
BTC,3/17/2019,4005.98,4012.0,3950.01,3981.14,18814.25558
BTC,3/18/2019,3981.85,4037.0,3953.33,3987.81,22454.47801
BTC,3/19/2019,3987.83,4031.0,3970.0,4015.53,19893.74182
BTC,3/20/2019,4017.48,4050.0,3980.5,4043.04,23432.30026
BTC,3/21/2019,4043.04,4069.32,3880.01,3980.64,35997.68212
BTC,3/22/2019,3980.85,4008.0,3968.25,3986.93,20022.60632
BTC,3/23/2019,3987.89,4018.83,3978.01,4006.01,17302.60432
BTC,3/24/2019,4006.01,4006.02,3950.0,3992.18,17179.85065
BTC,3/25/2019,3991.35,3999.3,3888.71,3936.12,33192.89022
BTC,3/26/2019,3935.47,3958.98,3894.0,3948.55,29349.53763
BTC,3/27/2019,3948.77,4048.0,3936.15,4038.05,32364.55585
BTC,3/28/2019,4039.58,4039.7,4002.0,4027.81,20089.29388
BTC,3/29/2019,4028.22,4123.71,4024.03,4103.25,30084.21744
BTC,3/30/2019,4104.24,4140.0,4052.0,4106.97,19509.2926
BTC,3/31/2019,4106.99,4116.12,4082.57,4103.95,13525.08743
BTC,4/1/2019,4102.44,4158.7,4067.0,4144.56,25507.06764
BTC,4/2/2019,4144.54,4897.99,4140.54,4857.29,105383.6393
BTC,4/3/2019,4857.19,5275.01,4753.5,4932.6,109890.1257
BTC,4/4/2019,4932.59,5039.08,4777.0,4898.66,61054.25417
BTC,4/5/2019,4898.64,5028.22,4880.62,5004.95,39768.55281
BTC,4/6/2019,5004.96,5205.0,4928.59,5043.89,41770.84231
BTC,4/7/2019,5042.07,5234.0,5026.0,5170.27,37615.4868
BTC,4/8/2019,5170.27,5305.0,5039.0,5236.9,50178.43078
BTC,4/9/2019,5238.38,5238.4,5076.68,5150.0,34067.01231
BTC,4/10/2019,5150.0,5422.0,5135.0,5308.25,40073.62047
BTC,4/11/2019,5307.86,5332.67,4927.0,5017.37,54696.60069
BTC,4/12/2019,5017.37,5080.58,4861.22,5048.01,33276.67861
BTC,4/13/2019,5047.0,5099.0,5004.0,5045.22,17292.4568
BTC,4/14/2019,5047.45,5152.99,5000.0,5131.3,18281.60774
BTC,4/15/2019,5131.28,5167.38,4950.0,5024.95,29057.19158
BTC,4/16/2019,5024.95,5197.72,5003.94,5173.72,24242.22949
BTC,4/17/2019,5173.72,5230.4,5146.8,5202.82,23307.53613
BTC,4/18/2019,5202.41,5287.0,5198.8,5258.44,22619.239
BTC,4/19/2019,5258.44,5320.0,5175.0,5258.68,24611.23632
BTC,4/20/2019,5258.68,5333.42,5230.1,5291.73,19168.90827
BTC,4/21/2019,5292.91,5314.35,5165.0,5256.14,25549.57094
BTC,4/22/2019,5257.41,5400.0,5208.35,5357.14,29563.85231
BTC,4/23/2019,5357.14,5600.0,5332.41,5493.31,41262.10392
